state,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,pressure,temperature,altitude,magX,magY,magZ,w,i,j,k,posX,posY,posZ,velX,velY,velZ,gpsLat,gpsLong,gpsAltMSL,gpsAltAGL,gpsVelocityN,gpsVelocityE,gpsVelocityD,epochTime,satellites,gpsLock,loopcount,timestamp,cx,cy,targetGpsLat,targetGpsLong,desiredServoPos1,actualServoPos1,desiredServoPos2,actualServoPos2,desiredServoPos3,actualServoPos3,desiredServoPos4,actualServoPos4,trajA,trajB,trajC,trajD
0,-0.06543,0.040039,-0.998047,0.045616,-0.194115,0.590866,23638.91602,22747.80273,35205.07813,871.0896,0,1256.911743,-34446.30469,19021.23828,-59555.21094,-0.12115,0.084187,-0.007582,0.989029,0,0,0,0,0,0,329394784,-1069118528,1395296,-112,-115,-6,1369714,1718896758,12,1,437841,12099711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.056641,0.046875,-0.997559,0.015099,-0.430626,0.377243,24102.7832,22943.11523,35601.80469,871.0896,0,1256.911743,-33924.94141,19248.50391,-59111.72266,-0.121234,0.084178,-0.007598,0.989019,0,0,0,0,0,0,329394784,-1069118528,1395294,-85,-19,10,1369712,1718896758,12,1,437842,12099736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.071289,0.055664,-0.998047,0.129539,-0.575584,-0.034744,24426.26953,22460.9375,35223.39063,871.048828,0,1257.294922,-33562.96484,18690.9707,-59534.60547,-0.121223,0.084213,-0.007586,0.989017,0,0,0,0,0,0,329394784,-1069118528,1395294,-85,-19,10,1369712,1718896758,12,1,437843,12099761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.089844,0.054688,-0.996094,0.091393,-0.430626,-0.164444,23712.1582,22595.21484,34765.625,871.050049,0,1257.284302,-34366.15625,18840.48828,-60042.35156,-0.121182,0.084236,-0.00758,0.989021,0,0,0,0,0,0,329394784,-1069118528,1395347,-39,-90,-21,1369765,1718896758,12,1,437844,12099786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.097168,0.045898,-0.995605,0.137169,-0.354332,-0.744278,23889.16016,22979.73633,35858.15625,871.050049,0,1257.284302,-34163.03516,19294.59766,-58829.21875,-0.121023,0.084247,-0.007546,0.989039,0,0,0,0,0,0,329394784,-1069118528,1395347,-39,-90,-21,1369765,1718896758,12,1,437845,12099811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.091797,0.034668,-0.996582,0.335533,-0.217003,-0.71376,23413.08594,22808.83789,35223.39063,871.057617,0,1257.213013,-34699.46875,19092.00195,-59535.38672,-0.120883,0.084217,-0.007461,0.98906,0,0,0,0,0,0,329394784,-1069118528,1395385,36,-31,-40,1369803,1718896758,12,1,437846,12099836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.075195,0.021484,-0.997559,0.137169,-0.12545,-0.118668,23413.08594,22735.5957,35028.07813,871.053711,0,1257.25,-34700.30469,19005.57227,-59752.14844,-0.12088,0.084154,-0.00742,0.989066,0,0,0,0,0,0,329394784,-1069118528,1395385,36,-31,-40,1369803,1718896758,12,1,437847,12099861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.061035,0.015625,-1,-0.00016,-0.163597,0.491684,22900.39063,22503.66211,35656.73828,871.053711,0,1257.25,-35270.61719,18750.74219,-59063.72656,-0.121012,0.084088,-0.007414,0.989055,0,0,0,0,0,0,329394784,-1069118528,1395385,-9,21,-25,1369803,1718896758,12,1,437848,12099886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.062012,0.026367,-0.998047,-0.274818,-0.354332,0.026291,23486.32813,23291.01563,35229.49219,871.041016,0,1257.368896,-34618.92188,19643.11328,-59521.58984,-0.12103,0.084074,-0.007466,0.989054,0,0,0,0,0,0,329394784,-1069118528,1395385,-9,21,-25,1369803,1718896758,12,1,437849,12099911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.078125,0.037109,-0.998047,-0.114601,-0.445885,0.590866,24359.13086,23364.25781,35968.01563,871.041016,0,1257.368896,-33637.02734,19734.20313,-58699.97266,-0.121163,0.084091,-0.0075,0.989036,0,0,0,0,0,0,329394784,-1069118528,1395357,-145,-20,10,1369775,1718896758,12,1,437850,12099936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.088379,0.047852,-0.996582,0.335533,-0.346703,0.575607,24291.99219,22900.39063,34527.58594,871.072266,0,1257.075562,-33718.69531,19184.22461,-60297.89453,-0.121292,0.084085,-0.007451,0.989021,0,0,0,0,0,0,329394784,-1069118528,1395357,-145,-20,10,1369775,1718896758,12,1,437851,12099961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.086914,0.050293,-0.995117,-0.015419,-0.270409,0.873154,24353.02734,22930.9082,35479.73438,871.086182,0,1256.943481,-33645.15234,19232.05078,-59245.35547,-0.121476,0.084071,-0.007487,0.988999,0,0,0,0,0,0,329394784,-1069118528,1395370,-66,35,13,1369788,1718896758,12,1,437852,12099986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.06543,0.054199,-0.99707,-0.099342,0.027138,0.407761,24707.03125,22296.14258,36053.46875,871.086182,0,1256.943481,-33243.23438,18513.10547,-58618.39453,-0.121557,0.083977,-0.007548,0.988997,0,0,0,0,0,0,329394784,-1069118528,1395370,-66,35,13,1369788,1718896758,12,1,437853,12100011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.041016,0.050781,-0.998047,-0.015419,-0.400108,0.217026,24542.23633,23016.35742,35791.01563,870.983643,0,1257.907959,-33431.68359,19333.42188,-58899.28125,-0.121604,0.083949,-0.007574,0.988993,0,0,0,0,0,0,329394784,-1069118528,1395381,-38,-59,17,1369799,1718896758,12,1,437854,12100036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.046875,0.047852,-0.99707,-0.053566,-0.522179,-0.439102,24493.4082,22186.2793,34222.41406,871.015381,0,1257.609375,-33492.35156,18362.93555,-60643.74219,-0.121511,0.083955,-0.007589,0.989004,0,0,0,0,0,0,329394784,-1069118528,1395381,-38,-59,17,1369799,1718896758,12,1,437855,12100061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.070312,0.04834,-0.99707,-0.061195,-0.728172,-0.202591,24273.68164,22912.59766,35009.76563,871.015381,0,1257.609375,-33736.59766,19204.89258,-59765.19141,-0.121466,0.084027,-0.007603,0.989003,0,0,0,0,0,0,329394784,-1069118528,1395422,-57,2,-3,1369840,1718896758,12,1,437856,12100086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.095703,0.051758,-0.998535,0.045616,-0.583214,-0.477249,24743.65234,22552.49023,35217.28516,871.039551,0,1257.38208,-33207.63281,18794.52734,-59538.33594,-0.121359,0.084089,-0.007594,0.989011,0,0,0,0,0,0,329394784,-1069118528,1395422,-57,2,-3,1369840,1718896758,12,1,437857,12100111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.101074,0.050781,-0.995117,0.152428,-0.369591,0.400131,23901.36719,22802.73438,33966.0625,871.039551,0,1257.38208,-34159.20703,19066.09766,-60921.67578,-0.121443,0.084105,-0.007582,0.989,0,0,0,0,0,0,329394784,-1069118528,1395422,-57,2,-3,1369840,1718896758,12,1,437858,12100136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
